unitid,"cipcode",awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,bal_m,bal_w,crace15,crace16
100821,"47.0000",2,0,0,1,,0,0,0,0,0,0,2,,0,,3,
100821,"47.0000",4,0,0,7,,0,0,0,0,0,0,7,,0,,14,
100821,"48.0000",2,0,0,21,,1,,0,0,0,0,10,,0,,32,
100821,"48.0000",4,0,0,3,,,,0,0,0,0,,,0,,3,
100821,"99.0000",1,0,0,1,1,,,0,0,0,0,24,34,0,0,25,35
100821,"99.0000",2,0,0,50,3,1,6,0,0,0,0,28,12,0,0,79,21
100821,"99.0000",4,0,0,10,,,,0,0,0,0,7,,0,,17,
100830,"06.0000",5,1,0,16,27,0,0,1,0,0,1,124,85,0,0,142,113
100830,"06.0000",7,,,1,2,0,0,0,0,0,0,30,13,0,0,31,15
100830,"09.0000",5,0,0,0,3,0,0,0,0,0,0,3,16,0,0,3,19
100830,"11.0000",5,0,0,1,3,0,0,0,0,0,0,13,9,0,0,14,12
100830,"11.0000",7,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2
100830,"13.0000",5,0,0,1,2,0,0,0,1,0,0,15,72,0,0,16,75
100830,"13.0000",7,0,0,0,9,0,0,0,1,0,0,4,52,0,0,4,62
100830,"13.0000",8,0,0,1,2,0,0,0,0,0,0,0,8,0,0,1,10
100830,"17.0000",5,0,0,0,2,0,0,0,0,0,0,2,2,0,0,2,4
100830,"18.0000",5,0,0,0,6,0,0,0,1,0,1,5,35,0,0,5,43
100830,"23.0000",5,0,0,0,1,0,0,0,0,0,0,1,6,0,0,1,7
100830,"24.0000",5,3,0,1,2,0,0,2,0,0,0,7,11,0,0,13,13
100830,"26.0000",5,0,0,1,3,0,0,0,2,0,1,4,6,0,0,5,12
100830,"27.0000",5,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,1
100830,"40.0000",5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0
